MRUN,n_oportunidades,n_supera,n_supera_con_empate,mejor_puntaje,mejor_margen,tiene_alternativa,estado3,n_preferencias,n_carreras_distintas,DEP_NOMBRE,CLEC_MAX,MATE1_MAX,ptje_obligatorias,decil,grupo_hipotesis
4571,4,3,3,755.3,315.5,True,Con alternativa alcanzable,3,3,Part. Subvencionado,682,699,690.5,2,Otro
4667,1,1,1,849.1,416.5,True,Con alternativa alcanzable,3,3,Part. Subvencionado,794,807,800.5,4,Otro
5456,32,32,32,807.2,427.1,True,Con alternativa alcanzable,5,4,Municipal,590,631,610.5,6,Publico
7387,23,20,20,656.1,288.40000000000003,True,Con alternativa alcanzable,6,5,Corp. Municipal,555,502,528.5,1,Publico
7430,3,2,2,509.1,44.60000000000002,True,Con alternativa alcanzable,1,1,Part. Subvencionado,576,579,577.5,1,Otro
7444,11,11,11,621.4,195.10000000000002,True,Con alternativa alcanzable,1,1,Corp. Adm. Delegada,577,610,593.5,99,Otro
7752,16,16,16,706.1,310.90000000000003,True,Con alternativa alcanzable,2,1,SLEP,528,509,518.5,1,Publico
8680,19,19,19,648.6,280.2,True,Con alternativa alcanzable,5,2,Part. Pagado,687,589,638.0,99,Part. Pagado
9157,55,49,49,660.6,282.5,True,Con alternativa alcanzable,7,6,Part. Subvencionado,477,502,489.5,4,Otro
9518,43,39,39,616.2,263.70000000000005,True,Con alternativa alcanzable,5,4,Municipal,634,595,614.5,5,Publico
9998,124,82,82,549.0,174.3,True,Con alternativa alcanzable,20,17,Municipal,350,539,444.5,1,Publico
10222,1,0,0,784.8,-126.5,False,"Con candidatos, sin alcanzar",2,1,Part. Subvencionado,756,753,754.5,5,Otro
10461,4,4,4,617.4,218.89999999999998,True,Con alternativa alcanzable,4,3,Municipal,511,579,545.0,4,Publico
11367,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Subvencionado,597,486,541.5,3,Otro
11561,13,3,3,489.8,98.0,True,Con alternativa alcanzable,2,2,Municipal,316,403,359.5,3,Publico
12369,5,5,5,604.1,200.90000000000003,True,Con alternativa alcanzable,12,7,Part. Subvencionado,525,446,485.5,3,Otro
12371,18,16,16,652.5,272.4,True,Con alternativa alcanzable,2,1,Part. Subvencionado,576,508,542.0,3,Otro
12410,18,16,16,636.1,256.0,True,Con alternativa alcanzable,1,1,Part. Subvencionado,538,509,523.5,9,Otro
13159,7,5,5,637.8,201.49999999999994,True,Con alternativa alcanzable,3,2,Part. Subvencionado,597,508,552.5,3,Otro
13275,11,10,10,541.15,162.79999999999995,True,Con alternativa alcanzable,6,1,Part. Subvencionado,569,570,569.5,99,Otro
14392,51,36,36,557.9,177.79999999999995,True,Con alternativa alcanzable,15,12,Part. Subvencionado,316,486,401.0,99,Otro
14732,1,0,0,874.2,-37.09999999999991,False,"Con candidatos, sin alcanzar",2,2,Corp. Municipal,823,964,893.5,99,Publico
14995,17,13,13,588.1,129.90000000000003,True,Con alternativa alcanzable,20,18,Part. Subvencionado,660,792,726.0,99,Otro
16762,10,10,10,700.55,274.9,True,Con alternativa alcanzable,5,5,Part. Pagado,690,682,686.0,2,Part. Pagado
20781,1,0,0,819.0,-92.29999999999995,False,"Con candidatos, sin alcanzar",20,2,Corp. Adm. Delegada,799,805,802.0,3,Otro
21705,48,39,39,576.6,208.90000000000003,True,Con alternativa alcanzable,3,3,Municipal,479,462,470.5,99,Publico
22096,9,8,8,788.6,425.70000000000005,True,Con alternativa alcanzable,5,3,Part. Subvencionado,710,710,710.0,99,Otro
22814,5,5,5,896.8,397.4,True,Con alternativa alcanzable,1,1,Part. Subvencionado,823,880,851.5,4,Otro
22856,23,17,17,587.9,152.15000000000003,True,Con alternativa alcanzable,3,2,Municipal,597,690,643.5,1,Publico
24577,1,0,0,861.4,-49.89999999999998,False,"Con candidatos, sin alcanzar",9,2,Part. Subvencionado,785,937,861.0,6,Otro
25933,1,0,0,827.5,-83.79999999999995,False,"Con candidatos, sin alcanzar",7,3,Part. Pagado,794,824,809.0,9,Part. Pagado
27025,12,11,11,734.8,309.99999999999994,True,Con alternativa alcanzable,3,3,Corp. Municipal,415,529,472.0,99,Publico
27827,6,4,4,615.9,88.64999999999998,True,Con alternativa alcanzable,3,2,Part. Pagado,785,618,701.5,99,Part. Pagado
28993,1,0,0,819.5,-91.79999999999995,False,"Con candidatos, sin alcanzar",15,4,Part. Subvencionado,680,915,797.5,99,Otro
29343,19,0,0,430.7,-16.399999999999977,False,"Con candidatos, sin alcanzar",20,17,Part. Subvencionado,477,421,449.0,4,Otro
30183,22,15,15,527.2,159.50000000000006,True,Con alternativa alcanzable,5,5,Part. Subvencionado,511,486,498.5,6,Otro
31782,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Subvencionado,525,539,532.0,99,Otro
31818,57,49,49,714.8,340.09999999999997,True,Con alternativa alcanzable,3,3,Corp. Adm. Delegada,500,526,513.0,8,Otro
32531,11,10,10,579.6,225.0,True,Con alternativa alcanzable,5,2,Part. Subvencionado,540,460,500.0,8,Otro
35717,13,10,10,594.8,172.39999999999998,True,Con alternativa alcanzable,3,3,Part. Subvencionado,663,579,621.0,5,Otro
35825,24,10,10,601.5,226.8,True,Con alternativa alcanzable,3,3,Part. Subvencionado,477,508,492.5,8,Otro
35916,1,1,1,568.35,24.550000000000068,True,Con alternativa alcanzable,5,5,Municipal,583,631,607.0,7,Publico
36853,1,0,0,726.4,-184.89999999999998,False,"Con candidatos, sin alcanzar",8,2,Corp. Municipal,663,753,708.0,3,Publico
37015,43,4,4,415.6,47.900000000000034,True,Con alternativa alcanzable,7,4,Part. Subvencionado,424,421,422.5,5,Otro
37603,4,3,3,606.3,203.09999999999997,True,Con alternativa alcanzable,8,3,SLEP,397,474,435.5,4,Publico
38054,16,8,8,501.0,76.39999999999998,True,Con alternativa alcanzable,4,4,Part. Subvencionado,511,631,571.0,2,Otro
38140,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Subvencionado,690,618,654.0,10,Otro
40338,1,0,0,656.3,-255.0,False,"Con candidatos, sin alcanzar",11,2,Part. Pagado,607,631,619.0,6,Part. Pagado
43641,32,21,21,607.3,232.59999999999997,True,Con alternativa alcanzable,4,3,Municipal,500,567,533.5,6,Publico
44481,57,41,41,599.9,225.2,True,Con alternativa alcanzable,5,5,SLEP,455,421,438.0,7,Publico
44852,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Subvencionado,663,738,700.5,99,Otro
46347,27,22,22,785.4,410.7,True,Con alternativa alcanzable,7,6,Part. Subvencionado,540,508,524.0,10,Otro
47583,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Subvencionado,484,446,465.0,1,Otro
47924,18,15,15,565.6,183.90000000000003,True,Con alternativa alcanzable,1,1,Part. Subvencionado,619,516,567.5,99,Otro
48228,41,31,31,540.2,125.30000000000001,True,Con alternativa alcanzable,6,3,Part. Subvencionado,590,527,558.5,1,Otro
48398,46,31,31,656.6,281.90000000000003,True,Con alternativa alcanzable,6,6,Part. Subvencionado,455,516,485.5,99,Otro
50466,0,0,0,,,False,Sin candidatos evaluables,3,3,Part. Subvencionado,761,779,770.0,99,Otro
50968,1,0,0,652.0,-259.29999999999995,False,"Con candidatos, sin alcanzar",20,4,Part. Subvencionado,567,609,588.0,99,Otro
52990,11,10,10,648.5,293.9,True,Con alternativa alcanzable,5,1,SLEP,486,476,481.0,99,Publico
53450,1,0,0,698.2,-213.0999999999999,False,"Con candidatos, sin alcanzar",6,1,Municipal,634,690,662.0,99,Publico
55042,1,0,0,869.8,-41.5,False,"Con candidatos, sin alcanzar",7,1,Part. Subvencionado,682,1000,841.0,8,Otro
55572,1,0,0,900.9,-10.399999999999977,False,"Con candidatos, sin alcanzar",9,2,Part. Pagado,808,975,891.5,10,Part. Pagado
56631,27,24,24,567.2,199.50000000000006,True,Con alternativa alcanzable,3,3,Municipal,576,526,551.0,5,Publico
56675,183,181,181,764.9,410.29999999999995,True,Con alternativa alcanzable,20,16,SLEP,674,595,634.5,8,Publico
57908,3,0,0,406.0,-113.80000000000001,False,"Con candidatos, sin alcanzar",1,1,Corp. Municipal,333,495,414.0,99,Publico
57945,10,7,7,659.4,258.0,True,Con alternativa alcanzable,2,2,Municipal,596,529,562.5,99,Publico
58182,59,42,42,509.9,142.2,True,Con alternativa alcanzable,6,4,Part. Subvencionado,477,526,501.5,7,Otro
60757,1,0,0,873.7,-37.59999999999991,False,"Con candidatos, sin alcanzar",3,1,Part. Pagado,841,900,870.5,8,Part. Pagado
61010,10,8,8,647.2,245.80000000000007,True,Con alternativa alcanzable,2,2,Part. Subvencionado,650,516,583.0,7,Otro
63043,10,7,7,492.0,84.69999999999999,True,Con alternativa alcanzable,3,3,SLEP,502,474,488.0,4,Publico
63957,23,21,21,645.1,236.8,True,Con alternativa alcanzable,6,3,Part. Pagado,555,738,646.5,99,Part. Pagado
65909,4,3,3,609.15,167.75,True,Con alternativa alcanzable,3,3,Part. Subvencionado,583,780,681.5,2,Otro
66198,35,18,18,581.0,206.3,True,Con alternativa alcanzable,9,8,SLEP,397,495,446.0,7,Publico
68807,58,37,37,538.3,170.59999999999997,True,Con alternativa alcanzable,3,3,Municipal,477,502,489.5,2,Publico
